Rating,Title,Year,Reviews
96,Black Panther,2018,483
98,The Wizard of Oz,1939,114
97,Mad Max: Fury Road,2015,408
93,Wonder Woman,2017,434
98,E.T. The Extra-Terrestrial,1982,128
99,Metropolis,1927,122
91,Star Wars: The Last Jedi,2017,451
100,The Bride of Frankenstein,1935,44
92,The Shape of Water,2017,420
94,Arrival,2016,408
93,Thor: Ragnarok,2017,396
93,Logan,2017,394
98,Snow White and the Seven Dwarfs,1937,49
96,Gravity,2013,345
93,Star Wars: Episode VII - The Force Awakens,2015,418
97,"Nosferatu, a Symphony of Horror",1922,63
94,War for the Planet of the Apes,2017,339
97,Alien,1979,117
92,Spider-Man: Homecoming,2017,374
94,The Dark Knight,2008,333
91,Captain America: Civil War,2016,395
100,Frankenstein,1931,46
98,Dr. Strangelove,1964,85
100,Pinocchio,1940,49
96,Harry Potter and the Deathly Hallows - Part 2,2011,328
93,Star Wars: Episode IV - A New Hope,1977,119
88,Ant-Man and the Wasp,2018,400
99,Aliens,1986,71
94,Star Trek,2009,346
93,Sorry to Bother You,2018,286
87,Blade Runner 2049,2017,419
98,Invasion of the Body Snatchers,1956,56
97,Kubo and the Two Strings,2016,215
99,How to Train Your Dragon,2010,208
91,The Martian,2015,359
92,Marvel's The Avengers,2012,346
85,Avengers: Infinity War,2018,444
93,It's a Wonderful Life,1946,76
95,Beauty and The Beast,1946,64
100,The Terminator,1984,60
